preprocessing,features,n_features,classifier,params,n_folds,fit_seconds,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
psd_subjnorm_eogemg_scaler,psd_ocu_subjnorm,94,svm,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf', 'class_weight': 'balanced'}",15,19.8,0.7802746276729725,0.09445916751544171,0.7272385080989244,0.10052548617120952,0.7941647667864179,0.08840399330377777
psd_subjnorm_eogemg_scaler,psd_ocu_subjnorm,94,logreg,"{'C': 1.0, 'max_iter': 2000, 'class_weight': 'balanced'}",15,22.0,0.7732280449436196,0.08716696658151474,0.7222111727887852,0.09566972901188493,0.7895685280115424,0.07851024251743301
psd_subjnorm_eogemg_scaler,psd_ocu_subjnorm,94,rf,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 20, 'class_weight': 'balanced_subsample'}",15,38.7,0.7686625829656617,0.08537019880634347,0.7111982131104764,0.08763751691955493,0.7836375173946191,0.07479975735746412
psd_subjnorm_eogemg_scaler,psd_ocu_subjnorm,94,knn,{'n_neighbors': 15},15,1.2,0.7815375000878727,0.08150752161847248,0.6823246744841703,0.08704805027126467,0.7781052239773023,0.0758073377964452
psd_subjnorm_scaler,psd_subjnorm,89,rf,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 20, 'class_weight': 'balanced_subsample'}",15,38.1,0.7443925763501392,0.08351564721992069,0.6749864239477236,0.0903656129749388,0.7588891143778037,0.07593216377701652
psd_pca10,psd,89,svm,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf', 'class_weight': 'balanced'}",15,12.0,0.7534308989864471,0.09750478468391337,0.672444871606984,0.07314613513074014,0.7704069982455626,0.0749154838916525
psd_scaler,psd,89,svm,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf', 'class_weight': 'balanced'}",15,20.0,0.7548331545678997,0.09705265858901435,0.6708382689113969,0.07206772522806795,0.7705578623532868,0.07559152588803006
psd_subjnorm_scaler,psd_subjnorm,89,svm,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf', 'class_weight': 'balanced'}",15,20.4,0.7379270240391425,0.10184471802975531,0.6672656292198921,0.10170825886951827,0.7524025512970894,0.09664720360088332
psd_subjnorm_eogemg_scaler,psd_ocu_subjnorm,94,dt,{'max_depth': 10},15,13.4,0.7488036831751653,0.08360717030987927,0.6657882645249148,0.08533646441991079,0.752375672398147,0.0800997589745104
psd_pca10,psd,89,logreg,"{'C': 1.0, 'max_iter': 2000, 'class_weight': 'balanced'}",15,3.1,0.7386834421168742,0.0870933708047096,0.6595711211790357,0.07305193959729404,0.7559002043530947,0.0665665524424743
bandpower_log_scaler,bp_log,10,logreg,"{'C': 1.0, 'max_iter': 2000, 'class_weight': 'balanced'}",15,1.2,0.7404066896284593,0.07591284198790772,0.6552303110162409,0.07272257603704935,0.7558329829214181,0.06648578683395652
psd_scaler,psd,89,svm,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",15,16.5,0.7829281259784299,0.0897707428009659,0.6543167338018065,0.06540041566917917,0.7733755628193666,0.07594129149045255
psd_bandavg_scaler,psd_bandavg,10,logreg,"{'C': 1.0, 'max_iter': 2000, 'class_weight': 'balanced'}",15,1.2,0.7312447655824496,0.08238652782344924,0.6501478559407937,0.07904143579250834,0.7458047356758627,0.07518875262436453
psd_scaler,psd,89,logreg,"{'C': 1.0, 'max_iter': 2000, 'class_weight': 'balanced'}",15,23.5,0.7325689348248113,0.08884192876432526,0.6488443047608724,0.07120251954094942,0.7495928650363181,0.06949392237836577
psd_subjnorm_scaler,psd_subjnorm,89,logreg,"{'C': 1.0, 'max_iter': 2000, 'class_weight': 'balanced'}",15,21.4,0.7137495150341938,0.1065274770700307,0.6474829620739105,0.10643009639554153,0.7310530795928007,0.10134433258725879
psd_scaler,psd,89,svm,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf'}",15,17.1,0.7698720106837176,0.08828717994379279,0.646161577359807,0.07509523862270803,0.7644742734576963,0.07930917469987832
psd_subjnorm_scaler,psd_subjnorm,89,knn,{'n_neighbors': 15},15,1.2,0.7522819792143437,0.08776876233260612,0.645018632936418,0.08824353446505184,0.7474131387197861,0.08226228393534916
psd_scaler,psd,89,rf,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 20, 'class_weight': 'balanced_subsample'}",15,37.6,0.7322872478354494,0.0911780615127038,0.641069085211949,0.06754388496299195,0.7419216304827583,0.07370668798157051
bandpower_rel_scaler,bp_rel,10,logreg,"{'C': 1.0, 'max_iter': 2000, 'class_weight': 'balanced'}",15,1.6,0.728022556742572,0.05282090349163111,0.6408443184681137,0.06924324850453221,0.7425220905367371,0.0503924917482834
bandpower_log_scaler,bp_log,10,svm,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf', 'class_weight': 'balanced'}",15,9.8,0.7121218264784388,0.12131142261656985,0.6388590716009696,0.10978171823029036,0.7323665577799147,0.11603576932539462
psd_pca10,psd,89,rf,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 20, 'class_weight': 'balanced_subsample'}",15,16.5,0.7187160690012776,0.09676996523856685,0.6384831132039721,0.07017184993852822,0.735614527102793,0.07688515951536498
bandpower_rel_scaler,bp_rel,10,svm,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf', 'class_weight': 'balanced'}",15,12.5,0.7264034053348338,0.0887118195417679,0.6366072892068959,0.10786531922597492,0.7417945634700336,0.08544088657250615
psd_scaler,psd,89,logreg,"{'C': 1.0, 'max_iter': 2000}",15,23.4,0.7627239491990918,0.07169777525004856,0.6337079393878374,0.06650147828622081,0.7580640613972268,0.05804722127319251
bandpower_log_scaler,bp_log,10,rf,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 20, 'class_weight': 'balanced_subsample'}",15,15.2,0.7101431935138116,0.11159601877422495,0.6268424066045201,0.10108425625317605,0.7201274449953469,0.10561369970392745
bandpower_log_scaler,bp_log,10,knn,{'n_neighbors': 15},15,1.3,0.7582354030445563,0.09263712469740404,0.6196555690908645,0.09906730652031782,0.7459117614167586,0.0939342054636908
bandpower_rel_scaler,bp_rel,10,rf,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 20, 'class_weight': 'balanced_subsample'}",15,15.6,0.7137971243946061,0.1488360285642386,0.6196126680838964,0.1563289936363073,0.720259887690786,0.17353925224416877
bandpower_rel_scaler,bp_rel,10,knn,{'n_neighbors': 15},15,1.0,0.7480367442434223,0.07658859783475423,0.6129212750117269,0.08807863675676882,0.7418697088825935,0.0750881082903203
psd_subjnorm_scaler,psd_subjnorm,89,dt,{'max_depth': 10},15,13.0,0.7159841420644439,0.07516600714480758,0.6128357861035771,0.0798404404805484,0.716302860016196,0.07156090795202125
psd_scaler,psd,89,knn,{'n_neighbors': 15},15,1.2,0.7504788043791132,0.07614884647112412,0.6102970947522495,0.06744693853347952,0.7359108902530914,0.07843972586992327
psd_pca10,psd,89,knn,{'n_neighbors': 15},15,1.3,0.750261884087338,0.07117906024575996,0.6087147090549199,0.05898374568318315,0.7351886556249737,0.07401825716147983
psd_scaler,psd,89,knn,{'n_neighbors': 5},15,1.1,0.7382863520249785,0.07310126809829423,0.6085822578574983,0.07086076571270238,0.7291926351136606,0.07414061568814082
psd_bandavg_scaler,psd_bandavg,10,svm,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf', 'class_weight': 'balanced'}",15,10.5,0.6807326460737941,0.14119495729783935,0.6032447543365574,0.13678592860930974,0.698003200918788,0.14313117942030992
psd_bandavg_scaler,psd_bandavg,10,knn,{'n_neighbors': 15},15,1.2,0.7393043972137827,0.10660489611844666,0.593393946870889,0.11974160008154314,0.7216262261365723,0.11553239982944119
psd_bandavg_scaler,psd_bandavg,10,rf,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 20, 'class_weight': 'balanced_subsample'}",15,15.7,0.6837041808728331,0.11208915744651224,0.591026253510746,0.12374897130554588,0.6906201293742235,0.11903865509829543
psd_scaler,psd,89,dt,{'max_depth': 10},15,13.0,0.6987378003192717,0.07928456256565267,0.5782003921685397,0.06167108833228771,0.6959733214706837,0.06914651576934193
bandpower_log_scaler,bp_log,10,dt,{'max_depth': 10},15,1.5,0.6828159227317881,0.12889962729444787,0.5748581126316586,0.09866870722895195,0.6813199531596584,0.1298708364915157
bandpower_rel_scaler,bp_rel,10,dt,{'max_depth': 10},15,1.5,0.6880265349058177,0.12131449671462424,0.5711944598936521,0.11725663734264691,0.6837724884251334,0.13975171865181377
psd_pca10,psd,89,dt,{'max_depth': 10},15,1.7,0.6976443653374705,0.07477816192836843,0.5656662480764136,0.06323580396692553,0.6942472588782138,0.0650846452391689
psd_bandavg_scaler,psd_bandavg,10,dt,{'max_depth': 10},15,1.5,0.6731841052029485,0.1005598422518779,0.5513457075743209,0.11149993298823446,0.6684436655111994,0.10440206022529269
