subject,EOG comp,|r| EOG,EMG comp,|r| EMG,clash
0,2,0.99997,0,0.99994,
1,2,0.99999,0,0.99995,
2,2,0.99999,0,0.99996,
3,2,0.99999,0,0.99991,
4,2,0.99998,0,0.99994,
5,2,0.99997,0,0.99989,
6,2,0.99999,0,0.99992,
7,2,0.99997,0,0.99997,
8,2,0.99999,0,0.99987,
9,2,0.99998,0,0.99997,
10,2,0.99999,0,0.99997,
11,2,0.99995,0,0.99798,
12,2,0.99999,0,0.99996,
13,2,0.99998,0,0.99994,
14,2,0.99998,0,0.99996,
15,2,0.99999,0,0.99994,
16,2,0.99998,0,0.99995,
17,2,0.99994,0,0.99996,
18,2,0.99997,0,0.99986,
19,2,0.99996,0,0.99998,
